;Post code;Sub-municipality name (Dutch)
988;3582.0;Koersel
989;3850.0;Nieuwerkerken
990;8480.0;Eernegem
991;8570.0;Anzegem
992;8830.0;Hooglede
993;8978.0;Watou
994;3300.0;Tienen
995;3401.0;Walshoutem
996;3210.0;Lubbeek
997;1501.0;Buizingen
998;1950.0;Kraainem
999;9771.0;Nokere
1000;9190.0;Stekene
1001;9051.0;Sint-Denijs-Westrem
1002;9700.0;Oudenaarde
1003;9770.0;Kruishoutem
1004;4181.0;
1005;4342.0;
1006;4161.0;
1007;4650.0;
1008;4257.0;
1009;6210.0;
1010;7802.0;
1011;6200.0;
1012;7021.0;
1013;1060.0;Sint-Gillis
1014;1300.0;
1015;2170.0;Merksem
1016;2630.0;Aartselaar
1017;1033.0;Schaarbeek
1018;1006.0;Brussel
1019;1043.0;Schaarbeek
1020;7000.0;
1021;5523.0;
1022;3800.0;Brustem
1023;3941.0;Eksel
1024;8554.0;Sint-Denijs
1025;8904.0;Boezinge
1026;8954.0;Westouter
1027;8956.0;Kemmel
1028;8970.0;Poperinge
1029;6900.0;
1030;3200.0;Aarschot
1031;1674.0;Bellingen
1032;3054.0;Vaalbeek
1033;3010.0;Kessel-Lo
1034;3053.0;Haasrode
1035;9200.0;Dendermonde
1036;9991.0;Adegem
1037;9180.0;Moerbeke
1038;9980.0;Sint-Laureins
1039;9881.0;Bellem
1040;9571.0;Hemelveerdegem
1041;4163.0;
1042;4990.0;
1043;4450.0;
1044;4970.0;
1045;4053.0;
1046;4681.0;
1047;7512.0;
1048;7620.0;
1049;6142.0;
1050;7862.0;
1051;7300.0;
1052;1105.0;Brussel
1053;1050.0;Elsene
1054;2320.0;Hoogstraten
1055;2321.0;Meer
1056;2531.0;Vremde
1057;4672.0;
1058;4451.0;
1059;4621.0;
1060;7823.0;
1061;7191.0;
1062;6462.0;
1063;7623.0;
1064;6075.0;
1065;6020.0;
1066;7601.0;
1067;7061.0;
1068;1020.0;Brussel
1069;1090.0;Jette
1070;1301.0;
1071;1330.0;
1072;2610.0;Wilrijk
1073;9570.0;Sint-Maria-Lierde
1074;9830.0;Sint-Martens-Latem
1075;9300.0;Aalst
1076;9340.0;Impe
1077;9600.0;Ronse
1078;9981.0;Sint-Margriete
1079;9850.0;Nevele
1080;9500.0;Overboelare
1081;9170.0;Sint-Gillis-Waas
1082;4624.0;
1083;4577.0;
1084;4260.0;
1085;4821.0;
1086;4500.0;
1087;4782.0;
1088;4671.0;
1089;4000.0;
1090;4260.0;
1091;5024.0;
1092;5170.0;
1093;5590.0;
1094;3724.0;Vliermaal
1095;3746.0;Waltwilder
1096;8301.0;Ramskapelle
1097;8310.0;Sint-Kruis
1098;8421.0;Vlissegem
1099;8647.0;Pollinkhove
1100;8660.0;Adinkerke
1101;8800.0;Roeselare
1102;8820.0;Torhout
1103;8957.0;Mesen
1104;6686.0;
1105;6698.0;
1106;6742.0;
1107;6836.0;
1108;6850.0;
1109;6921.0;
1110;1931.0;Diegem
1111;3130.0;Betekom
1112;3012.0;Wilsele
1113;3271.0;Zichem
1114;5330.0;
1115;5562.0;
1116;3870.0;Heers
1117;8211.0;Aartrijke
1118;8890.0;Moorslede
1119;6984.0;
1120;3078.0;Everberg
1121;3384.0;Attenrode
1122;3191.0;Hever
1123;5680.0;
1124;1080.0;Sint-Jans-Molenbeek
1125;2600.0;Berchem
1126;2340.0;Beerse
1127;2861.0;Onze-Lieve-Vrouw-Waver
1128;2440.0;Geel
1129;2070.0;Zwijndrecht
1130;2880.0;Bornem
1131;2221.0;Booischot
1132;1009.0;Brussel
1133;1048.0;Brussel
1134;3190.0;Boortmeerbeek
1135;9800.0;Deinze
1136;4780.0;
1137;4630.0;
1138;4760.0;
1139;4171.0;
1140;4360.0;
1141;7880.0;
1142;7538.0;
1143;6530.0;
1144;6280.0;
1145;6592.0;
1146;1741.0;Wambeek
1147;1982.0;Elewijt
1148;9620.0;Strijpen
1149;9451.0;Kerksken
1150;9000.0;Gent
1151;4550.0;
1152;4653.0;
1153;4845.0;
1154;7340.0;
1155;7900.0;
1156;7812.0;
1157;7050.0;
1158;7951.0;
1159;1012.0;Brussel
1160;1007.0;Brussel
1161;1140.0;Evere
1162;1360.0;
1163;1430.0;
1164;1476.0;
1165;1495.0;
1166;2430.0;Vorst
1167;2328.0;Meerle
1168;2820.0;Bonheiden
1169;2260.0;Tongerlo
1170;2811.0;Leest
1171;2110.0;Wijnegem
1172;5504.0;
1173;5574.0;
1174;3630.0;Mechelen-aan-de-Maas
1175;3730.0;Hoeselt
1176;8020.0;Waardamme
1177;8200.0;Sint-Andries
1178;8380.0;Lissewege
1179;8420.0;Klemskerke
1180;8581.0;Kerkhove
1181;6741.0;
1182;6800.0;
1183;6880.0;
1184;6922.0;
1185;6951.0;
1186;6982.0;
1187;1733.0;Asse
1188;1853.0;Strombeek-Bever
1189;1930.0;Zaventem
1190;3051.0;Sint-Joris-Weert
1191;1740.0;Ternat
1192;3461.0;Molenbeek-Wersbeek
1193;4180.0;
1194;4682.0;
1195;4317.0;
1196;4340.0;
1197;4460.0;
1198;4720.0;
1199;7031.0;
1200;7322.0;
1201;6043.0;
1202;7621.0;
1203;6222.0;
1204;7866.0;
1205;7950.0;
1206;1047.0;Elsene
1207;1099.0;Brussel
